Data Source in SDW: https://sdw.ecb.europa.eu/browseChart.do?org.apache.struts.taglib.html.TOKEN=f5f99530ec8f3823b632569651605961&ICP_SUFFIX.19=INX&df=true&MAX_DOWNLOAD_SERIES=500&DATASET=0&org.apache.struts.taglib.html.TOKEN=2dee88646bd76acd585b6798fe38695e&org.apache.struts.taglib.html.TOKEN=42b2cb0094d9a92cb32bc0c2eefb98bc&legendRef=reference&node=1496&SERIES_MAX_NUM=50&ICP_ITEM.19=000000&ICP_ITEM.19=GOODS0&ICP_ITEM.19=SERV00&ADJUSTMENT.19=Y&activeTab=ICP&start=&end=&submitOptions.x=0&submitOptions.y=0&trans=N&q=
,ICP.M.U2.Y.000000.3.INX,ICP.M.U2.Y.GOODS0.3.INX,ICP.M.U2.Y.SERV00.3.INX
2010Jun,93.09,93.64,92.43
2010May,93.02,93.61,92.32
2010Apr,92.96,93.54,92.27
2010Mar,92.65,93.09,92.16
2010Feb,92.34,92.60,92.07
2010Jan,92.30,92.60,91.99
2009Dec,92.04,92.18,91.95
2009Nov,92.00,92.20,91.81
2009Oct,91.81,91.94,91.72
2009Sep,91.79,92.03,91.56
2009Aug,91.85,92.23,91.42
2009Jul,91.62,91.92,91.30
2009Jun,91.77,92.24,91.22
2009May,91.52,91.86,91.16
2009Apr,91.46,91.83,91.04
2009Mar,91.33,91.80,90.78
2009Feb,91.43,91.99,90.76
2009Jan,91.29,91.84,90.62
2008Dec,91.23,91.82,90.51
2008Nov,91.58,92.55,90.35
2008Oct,91.96,93.36,90.14
2008Sep,92.09,93.74,89.93
2008Aug,92.01,93.70,89.78
2008Jul,92.19,94.15,89.59
2008Jun,91.91,93.78,89.46
2008May,91.49,93.19,89.25
2008Apr,90.96,92.49,88.96
2008Mar,90.77,92.18,88.92
2008Feb,90.34,91.68,88.61
2008Jan,90.22,91.56,88.48
2007Dec,89.82,91.09,88.18
2007Nov,89.69,90.99,88.00
2007Oct,89.16,90.22,87.79
2007Sep,88.85,89.83,87.61
2007Aug,88.66,89.57,87.49
2007Jul,88.58,89.53,87.37
2007Jun,88.40,89.33,87.24
2007May,88.27,89.18,87.12
2007Apr,88.08,88.97,86.96
2007Mar,87.70,88.56,86.60
2007Feb,87.51,88.32,86.50
2007Jan,87.38,88.23,86.30
2006Dec,87.16,88.09,85.97
2006Nov,87.06,88.01,85.85
2006Oct,86.95,87.98,85.64
2006Sep,87.00,88.18,85.47
2006Aug,87.13,88.52,85.30
2006Jul,87.01,88.39,85.20
2006Jun,86.76,88.08,85.04
2006May,86.61,87.94,84.88
2006Apr,86.38,87.68,84.68
2006Mar,86.06,87.19,84.61
2006Feb,85.91,87.04,84.46
2006Jan,85.77,86.91,84.30
2005Dec,85.54,86.58,84.20
2005Nov,85.47,86.57,84.06
2005Oct,85.61,86.90,83.93
2005Sep,85.51,86.81,83.81
2005Aug,85.15,86.30,83.67
2005Jul,84.94,86.06,83.50
2005Jun,84.67,85.71,83.35
2005May,84.51,85.49,83.24
2005Apr,84.43,85.47,83.08
2005Mar,84.22,85.19,83.00
2005Feb,83.92,84.81,82.80
2005Jan,83.73,84.57,82.68
2004Dec,83.69,84.60,82.52
2004Nov,83.59,84.60,82.31
2004Oct,83.59,84.73,82.14
2004Sep,83.36,84.39,82.02
2004Aug,83.31,84.46,81.84
2004Jul,83.12,84.27,81.66
2004Jun,83.01,84.17,81.51
2004May,82.92,84.17,81.32
2004Apr,82.69,83.81,81.25
2004Mar,82.46,83.58,81.03
2004Feb,82.21,83.26,80.87
2004Jan,82.09,83.21,80.64
2003Dec,81.81,82.98,80.30
2003Nov,81.77,83.01,80.16
2003Oct,81.70,82.95,80.08
2003Sep,81.63,82.92,79.95
2003Aug,81.42,82.71,79.74
2003Jul,81.23,82.52,79.57
2003Jun,81.09,82.35,79.45
2003May,80.96,82.24,79.30
2003Apr,81.00,82.39,79.19
2003Mar,81.09,82.68,79.01
2003Feb,80.86,82.42,78.83
2003Jan,80.61,82.08,78.70
2002Dec,80.23,81.56,78.50
2002Nov,80.10,81.44,78.37
2002Oct,80.10,81.57,78.17
2002Sep,79.96,81.47,77.99
2002Aug,79.80,81.29,77.85
2002Jul,79.67,81.15,77.75
2002Jun,79.50,81.04,77.49
2002May,79.49,81.13,77.33
2002Apr,79.41,81.16,77.10
2002Mar,79.19,80.87,76.97
2002Feb,79.01,80.71,76.76
2002Jan,78.92,80.71,76.57
2001Dec,78.42,80.10,76.20
2001Nov,78.33,80.06,76.04
2001Oct,78.33,80.21,75.83
2001Sep,78.32,80.34,75.61
2001Aug,78.13,80.17,75.43
2001Jul,78.08,80.20,75.27
2001Jun,78.04,80.24,75.10
2001May,77.91,80.12,74.95
2001Apr,77.57,79.58,74.89
2001Mar,77.28,79.30,74.59
2001Feb,77.11,79.06,74.51
2001Jan,76.88,78.80,74.36
2000Dec,76.93,79.01,74.16
2000Nov,77.03,79.09,74.28
2000Oct,76.80,78.83,74.09
2000Sep,76.75,78.82,73.98
2000Aug,76.38,78.25,73.93
2000Jul,76.23,78.08,73.80
2000Jun,76.14,78.01,73.66
2000May,75.84,77.63,73.49
2000Apr,75.74,77.45,73.49
2000Mar,75.75,77.52,73.42
2000Feb,75.58,77.26,73.39
2000Jan,75.46,77.11,73.32
1999Dec,75.35,76.95,73.28
1999Nov,75.15,76.68,73.19
1999Oct,75.03,76.58,73.01
1999Sep,74.90,76.46,72.89
1999Aug,74.82,76.35,72.85
1999Jul,74.69,76.18,72.79
1999Jun,74.53,76.03,72.63
1999May,74.51,76.01,72.57
1999Apr,74.53,76.08,72.51
1999Mar,74.25,75.72,72.39
1999Feb,74.10,75.57,72.23
1999Jan,74.08,75.57,72.20
1998Dec,74.08,75.55,72.20
1998Nov,74.08,75.59,72.14
1998Oct,74.07,75.60,72.08
1998Sep,74.04,75.64,71.93
1998Aug,74.00,75.65,71.81
1998Jul,73.93,75.63,71.64
1998Jun,73.90,75.60,71.63
1998May,73.83,75.54,71.51
1998Apr,73.73,75.49,71.34
1998Mar,73.60,75.35,71.22
1998Feb,73.58,75.37,71.12
1998Jan,73.54,75.38,71.04
1997Dec,73.56,75.45,70.92
1997Nov,73.52,75.44,70.82
1997Oct,73.42,75.35,70.68
1997Sep,73.35,75.28,70.62
1997Aug,73.24,75.18,70.48
1997Jul,73.04,74.94,70.36
1997Jun,72.93,74.83,70.28
1997May,72.89,74.81,70.19
1997Apr,72.79,74.73,70.03
1997Mar,72.80,74.77,69.96
1997Feb,72.81,74.85,69.81
1997Jan,72.83,74.93,69.68
1996Dec,,74.64,
1996Nov,,74.53,
1996Oct,,74.55,
1996Sep,,74.40,
1996Aug,,74.31,
1996Jul,,74.35,
1996Jun,,74.26,
1996May,,74.25,
1996Apr,,74.22,
1996Mar,,74.10,
1996Feb,,73.87,
1996Jan,,73.71,
